Date,Have done,"Considered
doing","Have not
considered"
2020 Aug 17-30,73,4,23
2020 Aug 10-16,72,6,22
2020 Aug 3-9,73,4,23
2020 Jul 27-Aug 2,75,4,20
2020 Jul 20-26,73,6,21
2020 Jul 13-19,74,6,20
2020 Jul 6-12,73,5,21
2020 Jun 29-Jul 5,72,5,23
2020 Jun 22-28,72,5,23
2020 Jun 15-21,71,5,24
2020 Jun 8-14,70,6,24
2020 Jun 1-7,70,5,25
2020 May 25-31,74,4,21
2020 May 18-24,76,4,20
2020 May 11-17,76,3,21
2020 May 4-10,81,3,16
2020 Apr 27-May 3,84,2,14
2020 Apr 20-26,86,1,12
2020 Apr 13-19,89,1,10
2020 Apr 6-12,89,1,10
2020 Mar 30-Apr 5,91,2,7
2020 Mar 23-29,89,3,8
2020 Mar 16-22,80,9,11
2020 Mar 13-15,55,24,21
