Date,Have done,"Considered
doing","Have not
considered"
2020 Aug 17-30,47,15,38
2020 Aug 10-16,51,14,35
2020 Aug 3-9,49,18,34
2020 Jul 27-Aug 2,51,17,32
2020 Jul 20-26,51,16,33
2020 Jul 13-19,52,17,31
2020 Jul 6-12,52,14,34
2020 Jun 29-Jul 5,48,17,35
2020 Jun 22-28,52,17,31
2020 Jun 15-21,49,15,35
2020 Jun 8-14,51,15,34
2020 Jun 1-7,51,15,34
2020 May 25-31,56,13,31
2020 May 18-24,62,13,25
2020 May 11-17,63,11,26
2020 May 4-10,71,9,19
2020 Apr 27-May 3,74,9,17
2020 Apr 20-26,80,6,14
2020 Apr 13-19,81,7,11
2020 Apr 6-12,84,7,10
2020 Mar 30-Apr 5,84,8,8
2020 Mar 23-29,80,10,10
2020 Mar 16-22,57,23,20
2020 Mar 13-15,23,26,51
