Date,"Completely
isolated","Mostly
isolated","Partially
isolated","Isolated
a little","No attempt
to isolate"
2020 Aug 17-30,10,32,25,16,17
2020 Aug 10-16,12,31,28,15,14
2020 Aug 3-9,11,30,28,16,16
2020 Jul 27-Aug 2,13,36,25,13,14
2020 Jul 20-26,11,30,29,15,15
2020 Jul 13-19,12,35,26,16,12
2020 Jul 6-12,10,34,26,15,14
2020 Jun 29-Jul 5,12,32,29,14,14
2020 Jun 22-28,10,32,31,14,13
2020 Jun 15-21,11,30,27,15,18
2020 Jun 8-14,11,31,29,14,16
2020 Jun 1-7,10,33,26,16,15
2020 May 25-31,13,36,28,12,11
2020 May 18-24,17,35,23,15,10
2020 May 11-17,17,38,24,12,9
2020 May 4-10,17,41,23,12,6
2020 Apr 27-May 3,20,45,21,8,6
2020 Apr 20-26,22,46,19,8,4
2020 Apr 13-19,24,45,18,8,4
2020 Apr 6-12,27,47,17,7,3
2020 Mar 30-Apr 5,28,47,17,6,3
2020 Mar 23-29,25,46,19,8,3
2020 Mar 16-22,18,40,22,13,7
