Date,Have done,"Considered
doing","Have not
considered"
2020 Aug 17-30,39,20,41
2020 Aug 10-16,38,22,40
2020 Aug 3-9,38,23,39
2020 Jul 27-Aug 2,37,24,40
2020 Jul 20-26,41,22,37
2020 Jul 13-19,38,23,39
2020 Jul 6-12,40,21,39
2020 Jun 29-Jul 5,41,22,36
2020 Jun 22-28,43,18,39
2020 Jun 15-21,41,20,39
2020 Jun 8-14,43,16,41
2020 Jun 1-7,44,18,38
2020 May 25-31,44,19,37
2020 May 18-24,45,19,36
2020 May 11-17,50,18,32
2020 May 4-10,50,23,28
2020 Apr 27-May 3,53,21,26
2020 Apr 20-26,54,20,26
2020 Apr 13-19,60,19,22
2020 Apr 6-12,61,21,19
2020 Mar 30-Apr 5,63,21,16
2020 Mar 23-29,61,21,18
2020 Mar 16-22,55,26,19
2020 Mar 13-15,40,29,31
