Date,Have done,"Considered
doing","Have not
considered"
2020 Aug 17-30,92,2,6
2020 Aug 10-16,92,2,6
2020 Aug 3-9,93,2,5
2020 Jul 27-Aug 2,91,3,7
2020 Jul 20-26,92,2,6
2020 Jul 13-19,90,4,6
2020 Jul 6-12,88,4,9
2020 Jun 29-Jul 5,87,4,9
2020 Jun 22-28,86,3,11
2020 Jun 15-21,83,4,12
2020 Jun 8-14,84,5,12
2020 Jun 1-7,83,4,13
2020 May 25-31,83,4,12
2020 May 18-24,83,5,12
2020 May 11-17,79,8,14
2020 May 4-10,80,9,11
2020 Apr 27-May 3,77,10,13
2020 Apr 20-26,75,12,13
2020 Apr 13-19,64,20,16
2020 Apr 6-12,51,31,18
