Date,Very worried,Somewhat worried,Not too worried,Not worried at all
2020 Aug 17-30,12,41,31,16
2020 Aug 10-16,16,43,26,15
2020 Aug 3-9,11,44,30,15
2020 Jul 27-Aug 2,12,46,27,14
2020 Jul 20-26,15,44,28,13
2020 Jul 13-19,16,43,28,13
2020 Jul 6-12,14,39,31,16
2020 Jun 29-Jul 5,12,42,30,15
2020 Jun 22-28,12,44,30,15
2020 Jun 15-21,9,39,35,18
2020 Jun 8-14,9,40,34,18
2020 Jun 1-7,8,39,35,18
2020 May 25-31,9,38,36,16
2020 May 18-24,9,43,34,14
2020 May 11-17,10,41,34,16
2020 May 4-10,11,42,34,13
2020 Apr 27-May 3,11,38,36,15
2020 Apr 20-26,13,43,33,12
2020 Apr 13-19,12,42,34,12
2020 Apr 6-12,12,45,33,10
